checklist_rank,approval_id,request_id,process_record_id,linked_observation_id,target_tg_c,surrogate_tg_c,target_distance_c,predicted_tg_sigma_c,candidate_origin,reaction_principle,process_template,suggested_inputs,suggested_field_count,risk_flags,reviewer_required_checks,downstream_protocol_ids,downstream_protocol_count,downstream_required_methods,downstream_authority_weight_if_completed,approval_status,ready_for_human_review,already_submitted,can_unlock_high_fidelity_protocol_after_approval,creates_observation,evidence_level,smiles,ratios
1,approval_validation_017_process_completion,validation_017_process_completion,review_queue_0021,sparse_target_replacement_250_0308,250.0,249.44716837670188,0.5528316232981183,99.41558730551272,sparse_target_replacement_250,epoxy_primary_amine,epoxy_amine_thermal_cure,mix_temperature_c=60.0;cure_temperature_c=140.0;cure_time_h=2.0;post_cure_temperature_c=220.0;post_cure_time_h=2.0,5,high_tg_process_window;high_predictor_sigma;sparse_target_candidate_origin,verify suggested process values against chemistry and safety context;confirm process_ready true only if required process fields are complete;set reviewer_approved true only after human review;fill reviewer_id and review_date;review high-Tg thermal stability and post-cure assumptions;keep high-fidelity/model-ensemble recheck before any observation promotion;attach target-specific literature or curated-source note before promotion,protocol_validation_017_high_fidelity_validation,1,process_feasibility_review;model_ensemble_recheck;high_fidelity_simulation_or_expanded_model_ensemble;thermal_stability_pre_screen;target_specific_literature_check,3.0,awaiting_human_review,True,False,True,False,process_approval_reviewer_checklist_not_observation,COc1cc(C(c2cc(C)c(O)c(O)c2)c2cc(C)c(O)c(O)c2)ccc1OCC1CO1|Nc1ccc(Oc2ccc(-c3ccc(Oc4ccc(N)cc4)cc3)cc2)cc1,0.25000:0.75000
2,approval_validation_010_process_completion,validation_010_process_completion,review_queue_0020,sparse_target_replacement_250_0182,250.0,250.85196239366724,0.851962393667236,85.72298280428798,sparse_target_replacement_250,epoxy_anhydride,epoxy_anhydride_catalyzed_cure,catalyst_loading=0.5-2.0 wt% tertiary amine or imidazole; verify equivalent basis;cure_temperature_c=170.0;post_cure_temperature_c=230.0,3,high_tg_process_window;high_predictor_sigma;sparse_target_candidate_origin;catalyst_sensitive_template,verify suggested process values against chemistry and safety context;confirm process_ready true only if required process fields are complete;set reviewer_approved true only after human review;fill reviewer_id and review_date;review high-Tg thermal stability and post-cure assumptions;keep high-fidelity/model-ensemble recheck before any observation promotion;attach target-specific literature or curated-source note before promotion,protocol_validation_010_high_fidelity_validation,1,process_feasibility_review;model_ensemble_recheck;high_fidelity_simulation_or_expanded_model_ensemble;thermal_stability_pre_screen;target_specific_literature_check,3.0,awaiting_human_review,True,False,True,False,process_approval_reviewer_checklist_not_observation,COc1cc(COCC2CO2)cc(-c2cc(COCC3CO3)cc(OC)c2OCC2CO2)c1OCC1CO1|O=C1OC(=O)c2cc(Cc3ccc4c(c3)C(=O)OC4=O)ccc21,0.05000:0.95000
3,approval_validation_007_process_completion,validation_007_process_completion,review_queue_0019,sparse_target_replacement_250_0277,250.0,250.7669903376895,0.7669903376894922,85.46044057445054,sparse_target_replacement_250,epoxy_anhydride,epoxy_anhydride_catalyzed_cure,catalyst_loading=0.5-2.0 wt% tertiary amine or imidazole; verify equivalent basis;cure_temperature_c=170.0;post_cure_temperature_c=230.0,3,high_tg_process_window;high_predictor_sigma;sparse_target_candidate_origin;catalyst_sensitive_template,verify suggested process values against chemistry and safety context;confirm process_ready true only if required process fields are complete;set reviewer_approved true only after human review;fill reviewer_id and review_date;review high-Tg thermal stability and post-cure assumptions;keep high-fidelity/model-ensemble recheck before any observation promotion;attach target-specific literature or curated-source note before promotion,protocol_validation_007_high_fidelity_validation,1,process_feasibility_review;model_ensemble_recheck;high_fidelity_simulation_or_expanded_model_ensemble;thermal_stability_pre_screen;target_specific_literature_check,3.0,awaiting_human_review,True,False,True,False,process_approval_reviewer_checklist_not_observation,COc1cc(CC2CO2)ccc1OP(=O)(Oc1ccc(CC2CO2)cc1OC)Oc1ccc(CC2CO2)cc1OC|O=C1OC(=O)c2cc(Cc3ccc4c(c3)C(=O)OC4=O)ccc21,0.05000:0.95000
4,approval_validation_002_process_completion,validation_002_process_completion,review_queue_0011,sparse_target_replacement_250_0058,250.0,249.88881937114007,0.1111806288599268,83.05386411514712,sparse_target_replacement_250,anhydride_hydroxyl,anhydride_amine_imidization,solvent=dry NMP or DMAc; verify monomer solubility before scale-up;imidization_temperature_c=220.0;imidization_time_h=2.0,3,high_tg_process_window;high_predictor_sigma;sparse_target_candidate_origin;solvent_and_imidization_sensitive_template,"verify suggested process values against chemistry and safety context;confirm process_ready true only if required process fields are complete;set reviewer_approved true only after human review;fill reviewer_id and review_date;review high-Tg thermal stability and post-cure assumptions;keep high-fidelity/model-ensemble recheck before any observation promotion;attach target-specific literature or curated-source note before promotion;verify solvent, imidization temperature, and imidization time",protocol_validation_002_high_fidelity_validation,1,process_feasibility_review;model_ensemble_recheck;high_fidelity_simulation_or_expanded_model_ensemble;thermal_stability_pre_screen;target_specific_literature_check;imidization_protocol_review,3.0,awaiting_human_review,True,False,True,False,process_approval_reviewer_checklist_not_observation,O=C1OC(=O)c2cc(Cc3ccc4c(c3)C(=O)OC4=O)ccc21|O=c1cc(-c2ccc3c(c2)CN(Cc2ccco2)CO3)c2c3c(c(O)cc2o1)CN(Cc1ccco1)CO3,0.60000:0.40000
5,approval_validation_001_process_completion,validation_001_process_completion,review_queue_0007,sparse_target_replacement_250_0204,250.0,249.96571728997148,0.0342827100285205,77.98662330230695,sparse_target_replacement_250,epoxy_hydroxyl,epoxy_anhydride_catalyzed_cure,catalyst_loading=0.5-2.0 wt% tertiary amine or imidazole; verify equivalent basis;cure_temperature_c=170.0;post_cure_temperature_c=230.0,3,high_tg_process_window;high_predictor_sigma;sparse_target_candidate_origin;catalyst_sensitive_template,verify suggested process values against chemistry and safety context;confirm process_ready true only if required process fields are complete;set reviewer_approved true only after human review;fill reviewer_id and review_date;review high-Tg thermal stability and post-cure assumptions;keep high-fidelity/model-ensemble recheck before any observation promotion;attach target-specific literature or curated-source note before promotion,protocol_validation_001_high_fidelity_validation,1,process_feasibility_review;model_ensemble_recheck;high_fidelity_simulation_or_expanded_model_ensemble;thermal_stability_pre_screen;target_specific_literature_check,3.0,awaiting_human_review,True,False,True,False,process_approval_reviewer_checklist_not_observation,CN(C)Cc1cc(CN(C)C)c(O)c(CN(C)C)c1|COc1cc(COCC2CO2)cc(-c2cc(COCC3CO3)cc(OC)c2OCC2CO2)c1OCC1CO1,0.95000:0.05000
6,approval_validation_006_process_completion,validation_006_process_completion,review_queue_0016,sparse_target_replacement_250_0035,250.0,249.6163776184917,0.3836223815083031,74.65113242987776,sparse_target_replacement_250,epoxy_primary_amine,epoxy_amine_thermal_cure,mix_temperature_c=60.0;cure_temperature_c=140.0;cure_time_h=2.0;post_cure_temperature_c=220.0;post_cure_time_h=2.0,5,high_tg_process_window;sparse_target_candidate_origin,verify suggested process values against chemistry and safety context;confirm process_ready true only if required process fields are complete;set reviewer_approved true only after human review;fill reviewer_id and review_date;review high-Tg thermal stability and post-cure assumptions;attach target-specific literature or curated-source note before promotion,protocol_validation_006_high_fidelity_validation,1,process_feasibility_review;model_ensemble_recheck;high_fidelity_simulation_or_expanded_model_ensemble;thermal_stability_pre_screen;target_specific_literature_check,3.0,awaiting_human_review,True,False,True,False,process_approval_reviewer_checklist_not_observation,CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1|Nc1cccc(Oc2cccc(Oc3cccc(N)c3)c2)c1,0.20000:0.80000
7,approval_validation_008_process_completion,validation_008_process_completion,review_queue_0018,sparse_target_replacement_250_0008,250.0,249.4053290851912,0.5946709148088019,73.69969771454676,sparse_target_replacement_250,epoxy_primary_amine,epoxy_amine_thermal_cure,mix_temperature_c=60.0;cure_temperature_c=140.0;cure_time_h=2.0;post_cure_temperature_c=220.0;post_cure_time_h=2.0,5,high_tg_process_window;sparse_target_candidate_origin,verify suggested process values against chemistry and safety context;confirm process_ready true only if required process fields are complete;set reviewer_approved true only after human review;fill reviewer_id and review_date;review high-Tg thermal stability and post-cure assumptions;attach target-specific literature or curated-source note before promotion,protocol_validation_008_high_fidelity_validation,1,process_feasibility_review;model_ensemble_recheck;high_fidelity_simulation_or_expanded_model_ensemble;thermal_stability_pre_screen;target_specific_literature_check,3.0,awaiting_human_review,True,False,True,False,process_approval_reviewer_checklist_not_observation,COc1ccc(OCC2CO2)c(CCCC(=O)OCCCCOC(=O)CCc2ccc(OCC3CO3)c(OC)c2)c1|Nc1ccc(-c2nc3ccc(N)cc3[nH]2)cc1,0.25000:0.75000
8,approval_validation_003_process_completion,validation_003_process_completion,review_queue_0008,sparse_target_replacement_250_0215,250.0,250.5543530246221,0.5543530246221167,64.77423201680902,sparse_target_replacement_250,anhydride_hydroxyl,anhydride_amine_imidization,solvent=dry NMP or DMAc; verify monomer solubility before scale-up;imidization_temperature_c=220.0;imidization_time_h=2.0,3,high_tg_process_window;sparse_target_candidate_origin;solvent_and_imidization_sensitive_template,"verify suggested process values against chemistry and safety context;confirm process_ready true only if required process fields are complete;set reviewer_approved true only after human review;fill reviewer_id and review_date;review high-Tg thermal stability and post-cure assumptions;attach target-specific literature or curated-source note before promotion;verify solvent, imidization temperature, and imidization time",protocol_validation_003_high_fidelity_validation,1,process_feasibility_review;model_ensemble_recheck;high_fidelity_simulation_or_expanded_model_ensemble;thermal_stability_pre_screen;target_specific_literature_check;imidization_protocol_review,3.0,awaiting_human_review,True,False,True,False,process_approval_reviewer_checklist_not_observation,CN(C)Cc1cc(CN(C)C)c(O)c(CN(C)C)c1|O=C(c1ccc2c(c1)C(=O)OC2=O)c1ccc2c(c1)C(=O)OC2=O,0.45000:0.55000
9,approval_validation_014_process_completion,validation_014_process_completion,review_queue_0015,vae_latent_local_search_0063,195.0,195.4722136422204,0.4722136422203391,70.25119156721226,vae_latent_local_search,maleimide_amine,maleimide_addition_or_copolymerization,cure_temperature_c=160.0;co_reactant_stoichiometry=1:1 functional equivalent starting point;post_cure_temperature_c=220.0,3,standard_human_review,verify suggested process values against chemistry and safety context;confirm process_ready true only if required process fields are complete;set reviewer_approved true only after human review;fill reviewer_id and review_date,protocol_validation_014_high_fidelity_validation,1,process_feasibility_review;model_ensemble_recheck;high_fidelity_simulation_or_expanded_model_ensemble,3.0,awaiting_human_review,True,False,True,False,process_approval_reviewer_checklist_not_observation,Nc1ccc(-c2ccc(N)cc2)cc1|O=C1C=CC(=O)N1c1ccccc1N1C(=O)C=CC1=O,0.55000:0.45000
10,approval_validation_011_process_completion,validation_011_process_completion,review_queue_0014,surrogate_round_3,195.0,195.0590323055354,0.0590323055353962,57.63734892553668,pievo_latent_local_search_selected,epoxy_secondary_amine,epoxy_amine_thermal_cure,mix_temperature_c=60.0;cure_temperature_c=120.0;cure_time_h=2.0;post_cure_temperature_c=180.0;post_cure_time_h=2.0,5,standard_human_review,verify suggested process values against chemistry and safety context;confirm process_ready true only if required process fields are complete;set reviewer_approved true only after human review;fill reviewer_id and review_date,protocol_validation_011_high_fidelity_validation,1,process_feasibility_review;model_ensemble_recheck;high_fidelity_simulation_or_expanded_model_ensemble,3.0,awaiting_human_review,True,False,True,False,process_approval_reviewer_checklist_not_observation,COC(=O)c1cc(CCc2ccc(OC)cc2OC)ccc1O|Cn1cc(C2=C(c3coc4ccccc34)C(=O)NC2=O)c2ccc(O)cc21|O=C(NCc1ccc(S(=O)(=O)O)cc1)C(CS)Cc1ccccc1|c1cc(N(CC2CO2)CC2CO2)ccc1Cc1ccc(N(CC2CO2)CC2CO2)cc1,0.06645:0.18729:0.16791:0.57835
11,approval_validation_018_process_completion,validation_018_process_completion,review_queue_0017,surrogate_round_4,195.0,195.583840638969,0.5838406389690078,48.51735185098811,pievo_latent_local_search_selected,epoxy_hydroxyl,epoxy_anhydride_catalyzed_cure,mix_temperature_c=80.0;cure_temperature_c=150.0;cure_time_h=2.0;post_cure_temperature_c=200.0;post_cure_time_h=2.0;catalyst_loading=0.5-2.0 wt% tertiary amine or imidazole; verify equivalent basis,6,catalyst_sensitive_template,verify suggested process values against chemistry and safety context;confirm process_ready true only if required process fields are complete;set reviewer_approved true only after human review;fill reviewer_id and review_date,protocol_validation_018_high_fidelity_validation;protocol_validation_020_high_fidelity_validation,2,process_feasibility_review;model_ensemble_recheck;high_fidelity_simulation_or_expanded_model_ensemble,3.0,awaiting_human_review,True,False,True,False,process_approval_reviewer_checklist_not_observation,CC1=CC(C)(C)N=C(Nc2nc(C)c3cc(C)cc(C)c3n2)N1|Nc1cccc(N)c1|c1ccc(C(c2ccc(OCC3CO3)cc2)c2ccc(OCC3CO3)cc2)cc1,0.37683:0.46697:0.15620
12,approval_validation_009_process_completion,validation_009_process_completion,review_queue_0005,surrogate_round_2,195.0,195.11905729703824,0.119057297038239,46.46276015866557,pievo_latent_local_search_selected,epoxy_primary_amine,epoxy_amine_thermal_cure,mix_temperature_c=60.0;cure_temperature_c=120.0;cure_time_h=2.0;post_cure_temperature_c=180.0;post_cure_time_h=2.0,5,standard_human_review,verify suggested process values against chemistry and safety context;confirm process_ready true only if required process fields are complete;set reviewer_approved true only after human review;fill reviewer_id and review_date,protocol_validation_009_high_fidelity_validation,1,process_feasibility_review;model_ensemble_recheck;high_fidelity_simulation_or_expanded_model_ensemble,3.0,awaiting_human_review,True,False,True,False,process_approval_reviewer_checklist_not_observation,COc1cc(/C=N/c2ccc(OCC3CO3)cc2)ccc1OCC1CO1|NCCNCCN|c1ccc(C(c2ccc(OCC3CO3)cc2)c2ccc(OCC3CO3)cc2)cc1,0.38304:0.53431:0.08265
